Z Scores,Price,Count,0.038590221,-0.001542183
0.221356154,0.007,25,,
-0.089603455,-0.005,30,,
0.558229063,0.02,7,,
0.299096056,0.01,17,,
-0.27099656,-0.012,28,,
0.117702951,0.003,44,,
0.247269455,0.008,28,,
0.143616252,0.004,37,,
0.169529553,0.005,31,,
0.06587635,0.001,43,,
0.195442853,0.006,34,,
-0.607869469,-0.025,9,,
-0.141430056,-0.007,24,,
0.584142364,0.021,10,,
0.273182755,0.009,32,,
0.247269455,0.008,28,,
-0.400563063,-0.017,18,,
0.713708868,0.026,7,,
0.06587635,0.001,43,,
0.143616252,0.004,37,,
-0.556042867,-0.023,21,,
-1.488921693,-0.059,6,,
-0.400563063,-0.017,18,,
-0.011863552,-0.002,37,,
-0.193256657,-0.009,25,,
0.635968965,0.023,10,,
1.257888183,0.047,3,,
0.532315763,0.019,7,,
-0.530129567,-0.022,17,,
0.06587635,0.001,43,,
0.713708868,0.026,7,,
-0.711522672,-0.029,8,,
0.09178965,0.002,36,,
1.672500994,0.063,5,,
0.402749259,0.014,16,,
-1.38526849,-0.055,4,,
-0.193256657,-0.009,25,,
0.376835958,0.013,13,,
-0.089603455,-0.005,30,,
-0.65969607,-0.027,11,,
2.190767008,0.083,1,,
1.309714784,0.049,5,,
0.376835958,0.013,13,,
-0.556042867,-0.023,21,,
1.361541385,0.051,5,,
0.325009357,0.011,21,,
0.039963049,0,35,,
-1.074308882,-0.043,7,,
0.843275371,0.031,5,,
-1.799881302,-0.071,1,,
-0.322823161,-0.014,24,,
-0.65969607,-0.027,11,,
-0.27099656,-0.012,28,,
-0.763349273,-0.031,11,,
-1.229788686,-0.049,7,,
-0.219169958,-0.01,31,,
0.143616252,0.004,37,,
-0.115516755,-0.006,36,,
1.024668476,0.038,6,,
0.143616252,0.004,37,,
-0.245083259,-0.011,14,,
0.221356154,0.007,25,,
1.309714784,0.049,5,,
0.713708868,0.026,7,,
0.45457586,0.016,16,,
-0.504216266,-0.021,12,,
0.325009357,0.011,21,,
-2.266320714,-0.089,4,,
-0.685609371,-0.028,9,,
3.978784757,0.152,1,,
-1.566661595,-0.062,3,,
3.045905932,0.116,1,,
1.024668476,0.038,6,,
-0.944742378,-0.038,9,,
1.750240896,0.066,2,,
1.050581777,0.039,9,,
-0.530129567,-0.022,17,,
-1.696228099,-0.067,3,,
-0.504216266,-0.021,12,,
-0.504216266,-0.021,12,,
0.350922658,0.012,16,,
1.983460603,0.075,4,,
-2.447713819,-0.096,2,,
-0.556042867,-0.023,21,,
0.480489161,0.017,15,,
2.709033022,0.103,2,,
1.128321679,0.042,3,,
-2.47362712,-0.097,2,,
4.134264562,0.158,1,,
-2.318147316,-0.091,1,,
-1.566661595,-0.062,3,,
-0.426476364,-0.018,13,,
-0.348736462,-0.015,18,,
-0.99656898,-0.04,11,,
-1.7480547,-0.069,2,,
-0.65969607,-0.027,11,,
-0.504216266,-0.021,12,,
0.765535469,0.028,10,,
-0.944742378,-0.038,9,,
-0.29690986,-0.013,26,,
-0.426476364,-0.018,13,,
-1.333441889,-0.053,2,,
-0.167343357,-0.008,31,,
-0.789262574,-0.032,9,,
0.350922658,0.012,16,,
-1.203875385,-0.048,5,,
1.050581777,0.039,9,,
0.273182755,0.009,32,,
-0.581956168,-0.024,12,,
-0.011863552,-0.002,37,,
-0.348736462,-0.015,18,,
1.51702119,0.057,4,,
2.061200505,0.078,3,,
-0.478302965,-0.02,11,,
0.014049748,-0.001,41,,
-0.789262574,-0.032,9,,
1.231974882,0.046,2,,
0.195442853,0.006,34,,
0.221356154,0.007,25,,
-0.089603455,-0.005,30,,
-1.929447805,-0.076,1,,
-0.167343357,-0.008,31,,
-0.348736462,-0.015,18,,
-0.789262574,-0.032,9,,
1.15423498,0.043,4,,
0.195442853,0.006,34,,
0.687795567,0.025,9,,
-2.914153232,-0.114,1,,
0.402749259,0.014,16,,
1.853894099,0.07,4,,
1.102408378,0.041,6,,
-0.63378277,-0.026,13,,
-0.504216266,-0.021,12,,
-2.758673428,-0.108,2,,
0.921015273,0.034,6,,
-3.095546337,-0.121,1,,
-0.737435972,-0.03,7,,
-0.815175875,-0.033,10,,
-0.141430056,-0.007,24,,
-0.918829077,-0.037,9,,
0.169529553,0.005,31,,
0.273182755,0.009,32,,
-0.478302965,-0.02,11,,
-1.177962085,-0.047,8,,
-0.29690986,-0.013,26,,
-0.193256657,-0.009,25,,
-0.556042867,-0.023,21,,
0.06587635,0.001,43,,
0.117702951,0.003,44,,
-0.011863552,-0.002,37,,
-0.089603455,-0.005,30,,
1.594761092,0.06,3,,
0.480489161,0.017,15,,
-0.63378277,-0.026,13,,
-0.400563063,-0.017,18,,
0.143616252,0.004,37,,
-0.115516755,-0.006,36,,
-0.011863552,-0.002,37,,
-0.219169958,-0.01,31,,
-0.089603455,-0.005,30,,
-0.815175875,-0.033,10,,
0.739622168,0.027,7,,
-0.452389665,-0.019,16,,
0.09178965,0.002,36,,
-0.141430056,-0.007,24,,
1.465194588,0.055,3,,
-0.581956168,-0.024,12,,
0.506402462,0.018,8,,
-0.400563063,-0.017,18,,
-0.711522672,-0.029,8,,
0.014049748,-0.001,41,,
-0.63378277,-0.026,13,,
0.402749259,0.014,16,,
-0.348736462,-0.015,18,,
-4.002511862,-0.156,1,,
-0.970655679,-0.039,11,,
0.014049748,-0.001,41,,
0.014049748,-0.001,41,,
0.195442853,0.006,34,,
-0.530129567,-0.022,17,,
-0.29690986,-0.013,26,,
0.014049748,-0.001,41,,
0.09178965,0.002,36,,
-0.037776853,-0.003,37,,
0.376835958,0.013,13,,
0.143616252,0.004,37,,
-0.452389665,-0.019,16,,
0.143616252,0.004,37,,
0.014049748,-0.001,41,,
-0.011863552,-0.002,37,,
-0.918829077,-0.037,9,,
0.635968965,0.023,10,,
0.195442853,0.006,34,,
0.014049748,-0.001,41,,
-0.063690154,-0.004,41,,
0.09178965,0.002,36,,
0.039963049,0,35,,
0.169529553,0.005,31,,
-0.530129567,-0.022,17,,
2.657206421,0.101,2,,
-1.02248228,-0.041,9,,
-0.245083259,-0.011,14,,
0.325009357,0.011,21,,
-0.29690986,-0.013,26,,
-0.089603455,-0.005,30,,
-1.592574896,-0.063,3,,
-0.27099656,-0.012,28,,
-0.063690154,-0.004,41,,
0.014049748,-0.001,41,,
0.143616252,0.004,37,,
0.117702951,0.003,44,,
0.06587635,0.001,43,,
0.45457586,0.016,16,,
-0.141430056,-0.007,24,,
0.039963049,0,35,,
-1.851707903,-0.073,1,,
0.09178965,0.002,36,,
0.506402462,0.018,8,,
-0.089603455,-0.005,30,,
0.09178965,0.002,36,,
0.45457586,0.016,16,,
-0.193256657,-0.009,25,,
-0.167343357,-0.008,31,,
0.247269455,0.008,28,,
-0.27099656,-0.012,28,,
0.299096056,0.01,17,,
0.79144877,0.029,6,,
0.221356154,0.007,25,,
0.09178965,0.002,36,,
0.09178965,0.002,36,,
-0.063690154,-0.004,41,,
0.221356154,0.007,25,,
-0.29690986,-0.013,26,,
0.06587635,0.001,43,,
1.102408378,0.041,6,,
-0.478302965,-0.02,11,,
0.273182755,0.009,32,,
-0.167343357,-0.008,31,,
-0.167343357,-0.008,31,,
0.635968965,0.023,10,,
-1.02248228,-0.041,9,,
0.81736207,0.03,7,,
0.143616252,0.004,37,,
-0.037776853,-0.003,37,,
2.734946323,0.104,1,,
-0.037776853,-0.003,37,,
0.117702951,0.003,44,,
0.273182755,0.009,32,,
-1.514834994,-0.06,5,,
0.195442853,0.006,34,,
-0.193256657,-0.009,25,,
0.739622168,0.027,7,,
-0.400563063,-0.017,18,,
-0.867002476,-0.035,6,,
0.998755175,0.037,5,,
-0.63378277,-0.026,13,,
1.15423498,0.043,4,,
-1.955361106,-0.077,2,,
1.620674393,0.061,2,,
-0.167343357,-0.008,31,,
1.776154197,0.067,4,,
-0.530129567,-0.022,17,,
0.273182755,0.009,32,,
-0.892915777,-0.036,3,,
1.646587693,0.062,3,,
-2.447713819,-0.096,2,,
-0.063690154,-0.004,41,,
-1.177962085,-0.047,8,,
-2.188580812,-0.086,3,,
-0.063690154,-0.004,41,,
0.143616252,0.004,37,,
0.610055665,0.022,8,,
1.361541385,0.051,5,,
-0.530129567,-0.022,17,,
0.45457586,0.016,16,,
0.946928574,0.035,5,,
-0.918829077,-0.037,9,,
-0.115516755,-0.006,36,,
0.45457586,0.016,16,,
2.009373903,0.076,3,,
1.491107889,0.056,1,,
-0.426476364,-0.018,13,,
1.853894099,0.07,4,,
0.273182755,0.009,32,,
-0.99656898,-0.04,11,,
1.827980798,0.069,6,,
-0.089603455,-0.005,30,,
-2.732760127,-0.107,2,,
-0.27099656,-0.012,28,,
1.465194588,0.055,3,,
-1.02248228,-0.041,9,,
3.538258645,0.135,1,,
-0.089603455,-0.005,30,,
1.750240896,0.066,2,,
-1.074308882,-0.043,7,,
2.320333512,0.088,3,,
4.574790674,0.175,2,,
-0.219169958,-0.01,31,,
0.06587635,0.001,43,,
0.350922658,0.012,16,,
0.169529553,0.005,31,,
3.071819232,0.117,1,,
0.325009357,0.011,21,,
0.169529553,0.005,31,,
-0.011863552,-0.002,37,,
-0.011863552,-0.002,37,,
0.325009357,0.011,21,,
0.42866256,0.015,14,,
-0.167343357,-0.008,31,,
-0.141430056,-0.007,24,,
0.117702951,0.003,44,,
-0.322823161,-0.014,24,,
0.117702951,0.003,44,,
0.014049748,-0.001,41,,
-0.115516755,-0.006,36,,
-0.115516755,-0.006,36,,
0.039963049,0,35,,
0.610055665,0.022,8,,
0.06587635,0.001,43,,
0.014049748,-0.001,41,,
0.014049748,-0.001,41,,
0.117702951,0.003,44,,
-0.037776853,-0.003,37,,
0.09178965,0.002,36,,
0.06587635,0.001,43,,
0.039963049,0,35,,
-0.089603455,-0.005,30,,
0.09178965,0.002,36,,
0.247269455,0.008,28,,
-0.037776853,-0.003,37,,
0.09178965,0.002,36,,
-0.970655679,-0.039,11,,
0.09178965,0.002,36,,
0.014049748,-0.001,41,,
-0.089603455,-0.005,30,,
1.594761092,0.06,3,,
0.299096056,0.01,17,,
0.117702951,0.003,44,,
-0.115516755,-0.006,36,,
-0.037776853,-0.003,37,,
0.195442853,0.006,34,,
-0.141430056,-0.007,24,,
-0.27099656,-0.012,28,,
0.169529553,0.005,31,,
0.325009357,0.011,21,,
0.169529553,0.005,31,,
-0.037776853,-0.003,37,,
0.195442853,0.006,34,,
0.273182755,0.009,32,,
-0.841089175,-0.034,10,,
-0.037776853,-0.003,37,,
0.635968965,0.023,10,,
0.480489161,0.017,15,,
0.09178965,0.002,36,,
0.195442853,0.006,34,,
-0.944742378,-0.038,9,,
-0.374649762,-0.016,15,,
-0.167343357,-0.008,31,,
-0.29690986,-0.013,26,,
1.076495078,0.04,3,,
0.117702951,0.003,44,,
-0.115516755,-0.006,36,,
0.06587635,0.001,43,,
-0.607869469,-0.025,9,,
-0.141430056,-0.007,24,,
0.117702951,0.003,44,,
-0.219169958,-0.01,31,,
-0.167343357,-0.008,31,,
0.895101973,0.033,6,,
0.45457586,0.016,16,,
0.81736207,0.03,7,,
2.63129312,0.1,2,,
-0.322823161,-0.014,24,,
0.169529553,0.005,31,,
-0.322823161,-0.014,24,,
-0.581956168,-0.024,12,,
-0.089603455,-0.005,30,,
0.221356154,0.007,25,,
0.195442853,0.006,34,,
-0.556042867,-0.023,21,,
-0.711522672,-0.029,8,,
0.143616252,0.004,37,,
-0.141430056,-0.007,24,,
-0.607869469,-0.025,9,,
-0.607869469,-0.025,9,,
0.506402462,0.018,8,,
-0.841089175,-0.034,10,,
0.998755175,0.037,5,,
-0.322823161,-0.014,24,,
0.81736207,0.03,7,,
-1.02248228,-0.041,9,,
-0.141430056,-0.007,24,,
-0.27099656,-0.012,28,,
0.273182755,0.009,32,,
-0.556042867,-0.023,21,,
0.039963049,0,35,,
0.195442853,0.006,34,,
1.724327595,0.065,1,,
-0.99656898,-0.04,11,,
1.827980798,0.069,6,,
0.895101973,0.033,6,,
0.376835958,0.013,13,,
-0.063690154,-0.004,41,,
1.54293449,0.058,1,,
0.45457586,0.016,16,,
0.273182755,0.009,32,,
0.45457586,0.016,16,,
1.51702119,0.057,4,,
0.195442853,0.006,34,,
0.09178965,0.002,36,,
-0.089603455,-0.005,30,,
-0.763349273,-0.031,11,,
0.765535469,0.028,10,,
0.81736207,0.03,7,,
-2.059014309,-0.081,3,,
-1.048395581,-0.042,7,,
0.06587635,0.001,43,,
-0.219169958,-0.01,31,,
0.506402462,0.018,8,,
-0.27099656,-0.012,28,,
-0.193256657,-0.009,25,,
-2.033101008,-0.08,1,,
-1.411181791,-0.056,5,,
-0.374649762,-0.016,15,,
-0.089603455,-0.005,30,,
0.169529553,0.005,31,,
0.610055665,0.022,8,,
-0.322823161,-0.014,24,,
1.51702119,0.057,4,,
0.195442853,0.006,34,,
0.247269455,0.008,28,,
-0.556042867,-0.023,21,,
-0.219169958,-0.01,31,,
0.247269455,0.008,28,,
-0.29690986,-0.013,26,,
0.480489161,0.017,15,,
-0.99656898,-0.04,11,,
0.169529553,0.005,31,,
-0.685609371,-0.028,9,,
-1.437095092,-0.057,7,,
1.283801483,0.048,3,,
-0.193256657,-0.009,25,,
0.765535469,0.028,10,,
-0.348736462,-0.015,18,,
0.169529553,0.005,31,,
-0.452389665,-0.019,16,,
2.864512827,0.109,2,,
0.195442853,0.006,34,,
-0.037776853,-0.003,37,,
-0.063690154,-0.004,41,,
-0.970655679,-0.039,11,,
0.195442853,0.006,34,,
-0.322823161,-0.014,24,,
1.050581777,0.039,9,,
-1.281615287,-0.051,2,,
1.050581777,0.039,9,,
1.361541385,0.051,5,,
-0.374649762,-0.016,15,,
2.812686225,0.107,1,,
0.45457586,0.016,16,,
0.273182755,0.009,32,,
-0.063690154,-0.004,41,,
-0.115516755,-0.006,36,,
-0.374649762,-0.016,15,,
0.79144877,0.029,6,,
-0.193256657,-0.009,25,,
-0.374649762,-0.016,15,,
-0.063690154,-0.004,41,,
-0.322823161,-0.014,24,,
0.325009357,0.011,21,,
-1.177962085,-0.047,8,,
0.921015273,0.034,6,,
0.014049748,-0.001,41,,
0.480489161,0.017,15,,
0.480489161,0.017,15,,
-0.219169958,-0.01,31,,
1.698414295,0.064,3,,
1.361541385,0.051,5,,
0.42866256,0.015,14,,
-0.815175875,-0.033,10,,
0.039963049,0,35,,
-0.530129567,-0.022,17,,
0.946928574,0.035,5,,
0.45457586,0.016,16,,
0.635968965,0.023,10,,
0.09178965,0.002,36,,
-0.581956168,-0.024,12,,
-0.167343357,-0.008,31,,
1.9057207,0.072,1,,
0.869188672,0.032,9,,
-0.29690986,-0.013,26,,
0.532315763,0.019,7,,
0.713708868,0.026,7,,
0.584142364,0.021,10,,
-0.27099656,-0.012,28,,
0.143616252,0.004,37,,
-1.38526849,-0.055,4,,
-0.29690986,-0.013,26,,
0.532315763,0.019,7,,
0.45457586,0.016,16,,
-0.115516755,-0.006,36,,
-1.100222182,-0.044,3,,
1.050581777,0.039,9,,
-1.100222182,-0.044,3,,
2.320333512,0.088,3,,
-1.877621204,-0.074,3,,
-0.348736462,-0.015,18,,
0.402749259,0.014,16,,
-0.115516755,-0.006,36,,
-1.696228099,-0.067,3,,
-0.348736462,-0.015,18,,
-0.789262574,-0.032,9,,
0.558229063,0.02,7,,
1.024668476,0.038,6,,
-1.048395581,-0.042,7,,
-0.322823161,-0.014,24,,
0.117702951,0.003,44,,
-3.147372939,-0.123,1,,
-0.400563063,-0.017,18,,
-0.167343357,-0.008,31,,
0.998755175,0.037,5,,
-0.426476364,-0.018,13,,
-0.99656898,-0.04,11,,
0.687795567,0.025,9,,
0.06587635,0.001,43,,
2.449900015,0.093,1,,
-1.281615287,-0.051,2,,
-0.815175875,-0.033,10,,
0.480489161,0.017,15,,
-0.27099656,-0.012,28,,
0.921015273,0.034,6,,
3.201385736,0.122,1,,
-0.452389665,-0.019,16,,
1.206061581,0.045,5,,
1.024668476,0.038,6,,
0.273182755,0.009,32,,
1.231974882,0.046,2,,
-0.581956168,-0.024,12,,
0.558229063,0.02,7,,
0.06587635,0.001,43,,
-0.867002476,-0.035,6,,
-1.152048784,-0.046,4,,
-1.02248228,-0.041,9,,
1.413367987,0.053,3,,
-0.011863552,-0.002,37,,
-0.115516755,-0.006,36,,
2.99407933,0.114,2,,
-0.037776853,-0.003,37,,
1.206061581,0.045,5,,
-1.955361106,-0.077,2,,
1.387454686,0.052,1,,
0.169529553,0.005,31,,
1.776154197,0.067,4,,
2.061200505,0.078,3,,
1.672500994,0.063,5,,
0.247269455,0.008,28,,
-0.037776853,-0.003,37,,
-0.944742378,-0.038,9,,
-0.193256657,-0.009,25,,
-1.35935519,-0.054,2,,
0.687795567,0.025,9,,
-0.607869469,-0.025,9,,
-1.7221414,-0.068,2,,
0.273182755,0.009,32,,
1.257888183,0.047,3,,
-0.763349273,-0.031,11,,
1.698414295,0.064,3,,
1.983460603,0.075,4,,
-0.193256657,-0.009,25,,
-1.7221414,-0.068,2,,
1.8798074,0.071,2,,
-2.188580812,-0.086,3,,
-0.29690986,-0.013,26,,
-1.411181791,-0.056,5,,
-2.577280323,-0.101,1,,
1.102408378,0.041,6,,
-2.292234015,-0.09,1,,
1.568847791,0.059,3,,
0.402749259,0.014,16,,
-1.307528588,-0.052,5,,
-1.981274407,-0.078,3,,
0.42866256,0.015,14,,
-2.603193624,-0.102,1,,
4.78209708,0.183,1,,
3.434605442,0.131,1,,
-1.229788686,-0.049,7,,
0.687795567,0.025,9,,
3.175472435,0.121,1,,
-0.219169958,-0.01,31,,
2.96816603,0.113,1,,
0.998755175,0.037,5,,
-0.452389665,-0.019,16,,
-0.504216266,-0.021,12,,
0.117702951,0.003,44,,
0.584142364,0.021,10,,
-1.177962085,-0.047,8,,
-0.089603455,-0.005,30,,
1.853894099,0.07,4,,
2.838599526,0.108,1,,
-2.525453722,-0.099,2,,
-0.400563063,-0.017,18,,
-0.193256657,-0.009,25,,
0.895101973,0.033,6,,
4.574790674,0.175,2,,
0.169529553,0.005,31,,
1.050581777,0.039,9,,
-0.63378277,-0.026,13,,
-0.918829077,-0.037,9,,
3.097732533,0.118,1,,
-0.63378277,-0.026,13,,
0.946928574,0.035,5,,
2.087113805,0.079,2,,
1.51702119,0.057,4,,
-0.167343357,-0.008,31,,
-2.732760127,-0.107,2,,
-0.037776853,-0.003,37,,
-0.504216266,-0.021,12,,
-2.240407414,-0.088,1,,
0.765535469,0.028,10,,
-1.877621204,-0.074,3,,
3.512345345,0.134,1,,
-0.167343357,-0.008,31,,
1.672500994,0.063,5,,
0.765535469,0.028,10,,
-2.629106924,-0.103,1,,
0.143616252,0.004,37,,
1.568847791,0.059,3,,
-1.437095092,-0.057,7,,
2.864512827,0.109,2,,
1.257888183,0.047,3,,
2.138940407,0.081,2,,
1.776154197,0.067,4,,
0.506402462,0.018,8,,
0.402749259,0.014,16,,
-2.47362712,-0.097,2,,
-1.411181791,-0.056,5,,
-0.063690154,-0.004,41,,
1.646587693,0.062,3,,
-1.203875385,-0.048,5,,
-2.421800519,-0.095,1,,
0.06587635,0.001,43,,
1.827980798,0.069,6,,
1.672500994,0.063,5,,
-4.883564087,-0.19,1,,
-4.313471471,-0.168,1,,
-0.115516755,-0.006,36,,
-0.737435972,-0.03,7,,
-0.789262574,-0.032,9,,
-0.115516755,-0.006,36,,
-2.266320714,-0.089,4,,
0.117702951,0.003,44,,
0.06587635,0.001,43,,
-0.426476364,-0.018,13,,
-0.944742378,-0.038,9,,
-1.618488197,-0.064,2,,
-1.670314798,-0.066,4,,
-0.530129567,-0.022,17,,
0.739622168,0.027,7,,
-0.400563063,-0.017,18,,
0.506402462,0.018,8,,
-0.65969607,-0.027,11,,
-0.789262574,-0.032,9,,
-0.167343357,-0.008,31,,
0.45457586,0.016,16,,
-1.7480547,-0.069,2,,
-2.395887218,-0.094,1,,
-0.219169958,-0.01,31,,
-2.525453722,-0.099,2,,
2.061200505,0.078,3,,
0.972841875,0.036,3,,
2.320333512,0.088,3,,
1.18014828,0.044,1,,
-1.152048784,-0.046,4,,
-0.530129567,-0.022,17,,
1.620674393,0.061,2,,
0.117702951,0.003,44,,
-0.815175875,-0.033,10,,
-0.426476364,-0.018,13,,
-0.892915777,-0.036,3,,
-1.255701987,-0.05,3,,
-1.255701987,-0.05,3,,
0.117702951,0.003,44,,
-1.592574896,-0.063,3,,
0.169529553,0.005,31,,
0.532315763,0.019,7,,
-0.63378277,-0.026,13,,
-0.918829077,-0.037,9,,
1.827980798,0.069,6,,
0.480489161,0.017,15,,
0.117702951,0.003,44,,
-0.115516755,-0.006,36,,
-1.203875385,-0.048,5,,
-0.556042867,-0.023,21,,
0.143616252,0.004,37,,
0.79144877,0.029,6,,
-0.245083259,-0.011,14,,
0.610055665,0.022,8,,
-0.815175875,-0.033,10,,
-0.815175875,-0.033,10,,
-2.940066533,-0.115,1,,
-0.29690986,-0.013,26,,
0.143616252,0.004,37,,
-0.867002476,-0.035,6,,
-0.970655679,-0.039,11,,
-0.322823161,-0.014,24,,
-0.219169958,-0.01,31,,
-0.581956168,-0.024,12,,
0.610055665,0.022,8,,
0.558229063,0.02,7,,
0.039963049,0,35,,
-0.29690986,-0.013,26,,
-1.048395581,-0.042,7,,
0.247269455,0.008,28,,
0.117702951,0.003,44,,
-1.903534504,-0.075,1,,
0.273182755,0.009,32,,
-1.618488197,-0.064,2,,
0.869188672,0.032,9,,
-1.100222182,-0.044,3,,
0.039963049,0,35,,
1.827980798,0.069,6,,
0.325009357,0.011,21,,
1.309714784,0.049,5,,
-2.369973917,-0.093,1,,
0.09178965,0.002,36,,
0.143616252,0.004,37,,
-3.354679344,-0.131,1,,
4.859836982,0.186,1,,
2.113027106,0.08,2,,
0.325009357,0.011,21,,
0.299096056,0.01,17,,
0.558229063,0.02,7,,
0.143616252,0.004,37,,
1.672500994,0.063,5,,
-0.011863552,-0.002,37,,
-0.99656898,-0.04,11,,
0.42866256,0.015,14,,
0.765535469,0.028,10,,
0.169529553,0.005,31,,
1.698414295,0.064,3,,
-1.02248228,-0.041,9,,
-0.841089175,-0.034,10,,
0.143616252,0.004,37,,
-1.177962085,-0.047,8,,
-0.219169958,-0.01,31,,
0.06587635,0.001,43,,
0.143616252,0.004,37,,
-0.245083259,-0.011,14,,
-0.970655679,-0.039,11,,
-0.27099656,-0.012,28,,
-0.530129567,-0.022,17,,
0.350922658,0.012,16,,
0.713708868,0.026,7,,
-0.29690986,-0.013,26,,
1.15423498,0.043,4,,
0.584142364,0.021,10,,
-1.203875385,-0.048,5,,
1.050581777,0.039,9,,
-1.514834994,-0.06,5,,
-1.152048784,-0.046,4,,
-1.411181791,-0.056,5,,
-1.463008392,-0.058,2,,
-0.737435972,-0.03,7,,
0.661882266,0.024,5,,
-0.141430056,-0.007,24,,
-1.307528588,-0.052,5,,
0.221356154,0.007,25,,
-3.043719736,-0.119,1,,
-0.607869469,-0.025,9,,
-0.763349273,-0.031,11,,
0.350922658,0.012,16,,
1.206061581,0.045,5,,
-1.177962085,-0.047,8,,
-0.193256657,-0.009,25,,
0.869188672,0.032,9,,
-1.074308882,-0.043,7,,
-1.307528588,-0.052,5,,
0.42866256,0.015,14,,
2.035287204,0.077,2,,
-0.037776853,-0.003,37,,
0.713708868,0.026,7,,
-1.488921693,-0.059,6,,
2.138940407,0.081,2,,
-5.505483304,-0.214,1,,
0.610055665,0.022,8,,
-0.789262574,-0.032,9,,
-3.717465554,-0.145,1,,
0.765535469,0.028,10,,
3.382778841,0.129,2,,
1.465194588,0.055,3,,
0.532315763,0.019,7,,
-0.763349273,-0.031,11,,
0.273182755,0.009,32,,
2.009373903,0.076,3,,
0.584142364,0.021,10,,
-0.556042867,-0.023,21,,
1.102408378,0.041,6,,
0.169529553,0.005,31,,
-0.115516755,-0.006,36,,
-0.556042867,-0.023,21,,
-0.219169958,-0.01,31,,
-0.918829077,-0.037,9,,
0.376835958,0.013,13,,
0.81736207,0.03,7,,
0.273182755,0.009,32,,
0.273182755,0.009,32,,
-1.644401497,-0.065,2,,
1.102408378,0.041,6,,
0.765535469,0.028,10,,
1.206061581,0.045,5,,
-0.063690154,-0.004,41,,
-0.322823161,-0.014,24,,
0.843275371,0.031,5,,
-1.177962085,-0.047,8,,
-0.763349273,-0.031,11,,
1.283801483,0.048,3,,
-1.488921693,-0.059,6,,
-0.685609371,-0.028,9,,
0.273182755,0.009,32,,
2.99407933,0.114,2,,
-0.478302965,-0.02,11,,
3.382778841,0.129,2,,
-0.530129567,-0.022,17,,
-1.02248228,-0.041,9,,
-0.063690154,-0.004,41,,
-1.02248228,-0.041,9,,
1.827980798,0.069,6,,
-1.514834994,-0.06,5,,
-1.644401497,-0.065,2,,
0.325009357,0.011,21,,
-0.65969607,-0.027,11,,
-0.581956168,-0.024,12,,
-1.203875385,-0.048,5,,
-1.229788686,-0.049,7,,
1.076495078,0.04,3,,
-0.478302965,-0.02,11,,
-1.488921693,-0.059,6,,
2.164853707,0.082,1,,
0.972841875,0.036,3,,
0.895101973,0.033,6,,
-1.670314798,-0.066,4,,
-1.670314798,-0.066,4,,
-0.763349273,-0.031,11,,
0.06587635,0.001,43,,
-0.99656898,-0.04,11,,
-0.970655679,-0.039,11,,
-1.126135483,-0.045,4,,
-0.478302965,-0.02,11,,
-0.400563063,-0.017,18,,
0.81736207,0.03,7,,
